team,nickname,city,robot_type,height,climb,epa_total,epa_auto,epa_teleop,epa_endgame
2767,Stryke Force,"Kalamazoo, Michigan",DRUM,TALL,NO,214.41,45.18,116.77,52.46
5193,Pantheon,"Saginaw, Michigan",DRUM,TALL,YES,172.33,34.51,92.79,45.04
3414,Hackbots,"Farmington, Michigan",TURRET,TALL,NO,170.48,38.37,99.28,32.83
6090,Wayland Wildcats,"Wayland, Michigan",DRUM,SHORT,YES,157.15,37.31,87.41,32.43
5114,Titanium Tigers,"Fenton, Michigan",TURRET,SHORT,NO,156.54,31.19,94.50,30.84
201,The FEDS,"Rochester, Michigan",DRUM,SHORT,NO,151.66,19.81,87.04,44.80
8608,Alpha Bots,"Battle Creek, Michigan",TURRET,SHORT,NO,141.04,19.94,84.91,36.19
1498,The Polar Pilots,"Richmond, Michigan",DRUM,TALL,NO,136.20,25.49,83.75,26.96
9245,Laker Dreadnoughts,"Pigeon, Michigan",TURRET,SHORT,NO,134.97,33.39,72.42,29.17
3656,Dexter Dreadbots,"Dexter, Michigan",DRUM,SHORT,NO,132.77,23.28,75.73,33.76
1023,Bedford Express,"Temperance, Michigan",TURRET,SHORT,NO,128.61,24.10,79.12,25.39
2611,Jacktown Vectors,"Jackson, Michigan",DRUM,SHORT,NO,122.65,22.86,65.27,34.51
3572,Wavelength,"Muskegon, Michigan",TURRET,SHORT,YES,122.49,20.09,70.68,31.71
469,Las Guerrillas,"Pontiac, Michigan",TURRET,SHORT,NO,119.06,26.06,65.60,27.40
226,Hammerheads,"Troy, Michigan",TURRET,SHORT,NO,105.85,16.42,69.33,20.10
9210,Fighting Falcons,"Jackson, Michigan",DRUM,SHORT,NO,104.27,17.75,58.77,27.75
4398,Gladiators,"Traverse City, Michigan",DRUM,TALL,NO,101.61,24.81,51.53,25.27
5046,Jacked Up Jackets,"Memphis, Michigan",DRUM,TALL,NO,98.07,20.36,55.58,22.14
5462,2Paw Robotics,"Paw Paw, Michigan",DRUM,SHORT,NO,92.74,20.30,46.95,25.49
10349,Pontiac Firebirds,"Pontiac, Michigan",TURRET,SHORT,NO,90.25,15.28,56.25,18.71
2586,Copper Bots,"Calumet, Michigan",TURRET,SHORT,YES,89.47,11.50,54.65,23.33
247,Da Bears,"Berkley, Michigan",DRUM,SHORT,YES,87.12,15.36,51.43,20.34
3602,RoboMos,"Escanaba, Michigan",TURRET,TALL,NO,85.87,16.89,51.95,17.03
5535,Bionic Bison,"New Buffalo, Michigan",DRUM,SHORT,NO,82.67,16.55,51.68,14.43
1684,The Chimeras,"Lapeer, Michigan",TURRET,SHORT,NO,81.89,12.60,45.88,23.41
4855,Ramageddon,"South Haven, Michigan",DRUM,TALL,NO,76.35,17.29,43.09,15.97
302,The Dragons,"Lake Orion, Michigan",DRUM,TALL,NO,76.27,11.68,44.33,20.26
9215,T-Town Tech,"Tekonsha, Michigan",DRUM,SHORT,NO,72.82,12.22,42.74,17.86
862,Lightning Robotics,"Canton, Michigan",TURRET,SHORT,NO,70.53,12.50,41.12,16.92
3767,TC Titans,"Traverse City, Michigan",TURRET,SHORT,NO,68.72,13.48,44.27,10.98
244,RoboDawgs 3D,"Grandville, Michigan",DRUM,TALL,NO,63.69,10.03,36.63,17.03
6528,Terror Bytes,"Gibraltar, Michigan",DRUM,SHORT,NO,61.75,14.30,30.94,16.51
5982,Merrill's Circuits of Destruction,"Merrill, Michigan",DRUM,TALL,NO,61.33,9.20,34.52,17.61
1076,PiHi Samurai,"Ann Arbor, Michigan",TURRET,SHORT,NO,60.34,12.36,29.62,18.37
7250,OsCODEa 0w|5,"Oscoda, Michigan",DRUM,SHORT,NO,56.81,11.34,32.53,12.94
5577,Kinematic Wolves,"Detroit, Michigan",DRUM,TALL,NO,42.03,6.39,21.34,14.30
9255,Botmasterz,"Grosse Pointe, Michigan",DRUM,TALL,NO,40.32,11.66,19.00,9.66
8424,Tractor Technicians Next Gen,"Mason, Michigan",DRUM,SHORT,NO,39.94,8.92,19.64,11.39
7598,SCA Constellations,"Wixom, Michigan",DRUM,TALL,NO,39.93,7.33,19.40,13.20
8767,Dark Horse Robotics,"North Branch, Michigan",DRUM,SHORT,NO,38.64,6.32,20.65,11.67
